image#0#0	caption
3592968286_b63c81bcd2#0	man in fancy clothing plays guitar on stage
3592968286_b63c81bcd2#1	man playing guitar under the lights with other people in the background
3592968286_b63c81bcd2#2	woman plays guitar by round light
3592968286_b63c81bcd2#3	man playing guitar in dark room
3592968286_b63c81bcd2#4	the man played guitar in the band
3592992234_6d3fe58a70#0	man in white shirt swinging stick
3592992234_6d3fe58a70#1	man in white shirt walks in the tall grass holding stick
3592992234_6d3fe58a70#2	man is walking in field carrying stick
3592992234_6d3fe58a70#3	man with stick in his left hand in field
3592992234_6d3fe58a70#4	man near golf course preparing to throw stick
3593220756_5c416c3ceb#0	man falling off of his surfboard
3593220756_5c416c3ceb#1	man in black wetsuit rides surfboard on wave
3593220756_5c416c3ceb#2	surfer in wetsuit balances on his board amidst ocean spray
3593220756_5c416c3ceb#3	surfer leaning back on surfboard
3593220756_5c416c3ceb#4	this man is wearing wetsuit and riding surfboard
3593222804_c187808ac3#0	collage of stopaction surfing pictures
3593222804_c187808ac3#1	man surfing in rough water
3593222804_c187808ac3#2	surfer on yellow surfboard is splashing up water onto another surfer
3593222804_c187808ac3#3	the man on the brown surfboard has created large splash that soaks the two other surfers standing by
3593222804_c187808ac3#4	three people are surfing and splashing in some water
3593392955_a4125087f6#0	black and tan dog is running with white and gray dog along dirt
3593392955_a4125087f6#1	the two dogs are running into the woods
3593392955_a4125087f6#2	two dogs run down dirt path in the forest
3593392955_a4125087f6#3	two dogs running away from the camera in the woods
3593392955_a4125087f6#4	two dogs run on dirt area near forest
3593538248_dffa1a5ed4#0	group of hockey players and one official stand on the ice during game
3593538248_dffa1a5ed4#1	referee on left interrupts hockey match
3593538248_dffa1a5ed4#2	several hockey players from different teams and referee are together on the ice
3593538248_dffa1a5ed4#3	several hockey players standing and skating near the goal
3593538248_dffa1a5ed4#4	there is an ice hockey game with players and ref near one of the goals
3593556797_46b49a02a8#0	woman in short skirt holds plastic bottle as she walks down street with auto and pedestrian traffic
3593556797_46b49a02a8#1	woman is walking down the middle of the road carrying bottle
3593556797_46b49a02a8#2	woman walking down the side of highway
3593556797_46b49a02a8#3	woman walking parallel to yellow line against traffic
3593556797_46b49a02a8#4	woman wearing jean skirt walks down city street
3594029059_cee1f4c59a#0	bird flies through the air with wings extended
3594029059_cee1f4c59a#1	black and white bird with yellow beak is flying
3594029059_cee1f4c59a#2	an eagle flies through the air
3594029059_cee1f4c59a#3	an eagle swoops down low almost to the ground
3594029059_cee1f4c59a#4	the eagle is flying low to the ground
3594566537_55bd712fdb#0	man falls out of his kayak
3594566537_55bd712fdb#1	man is falling out of his kayak as his paddles go flying
3594566537_55bd712fdb#2	man kayaking losing his paddle and falling out of the boat
3594566537_55bd712fdb#3	the man falls into the water while his paddle flies and his kayak tips
3594566537_55bd712fdb#4	the man threw his paddle in the air and fell out of the boat and into the water
3594822096_e1144b85d6#0	biker moving quickly past trees
3594822096_e1144b85d6#1	guy is on his bicycle
3594822096_e1144b85d6#2	man rides his bike through the woods
3594822096_e1144b85d6#3	man with shaved head riding mountain bike
3594822096_e1144b85d6#4	the man has goatee and wear black gloves while riding bike
3595080592_5fd55570e5#0	two asian children standing on cement
3595080592_5fd55570e5#1	two children smile
3595080592_5fd55570e5#2	two children wearing colorful pullovers are walking next to each other
3595080592_5fd55570e5#3	two children with adults in the background
3595080592_5fd55570e5#4	two young boys smile and walk outside
3595216998_0a19efebd0#0	black dog leaps in the air while playing outside
3595216998_0a19efebd0#1	small black and white dog jumps with red plastic fence in background
3595216998_0a19efebd0#2	small black dog in midair
3595216998_0a19efebd0#3	small black dog jumps over bar
3595216998_0a19efebd0#4	small black dog jumps through the air while person beckons it
3595398879_13e33b8916#0	little boy jumps into the mans arms
3595398879_13e33b8916#1	young boy in baseball cap jumps into the arms of man wearing blue shirt
3595398879_13e33b8916#2	young boy in blue shirt and cap is jumping into man arms
3595398879_13e33b8916#3	young boy jumping from height into the arms of an man
3595398879_13e33b8916#4	the young boy jumps into the man arms
3595408539_a7d8aabc24#0	man and woman holding cups with another man nearby
3595408539_a7d8aabc24#1	woman stands next to man in hat holding cup standing next to another man in yellow hat
3595408539_a7d8aabc24#2	woman with two men in hats socializing outside
3595408539_a7d8aabc24#3	three young adults holding plastic cups
3595408539_a7d8aabc24#4	three young people drink beer at an outdoor party
3595412126_4020d4643b#0	two asian girl with pink jackets standing by tree
3595412126_4020d4643b#1	two girls in pink coats drink from soda bottles and lean on tree
3595412126_4020d4643b#2	two girls in pink jackets stand by tree with water bottles
3595412126_4020d4643b#3	two girls stand by tree one holds bottle cap
3595412126_4020d4643b#4	two young girls in purple are leaning against large tree
3595643050_d312e4b652#0	dog catching ball
3595643050_d312e4b652#1	dog jumping up in the air next to white house
3595643050_d312e4b652#2	white dog is standing on its hind legs with ball in its mouth
3595643050_d312e4b652#3	yellow dog stands on his hind legs
3595643050_d312e4b652#4	yellow dog stands on hind legs with ball in mouth building in background
3595992258_6f192e6ae7#0	brown dog is running on rock
3595992258_6f192e6ae7#1	brown dog running
3595992258_6f192e6ae7#2	brown dog running across flat rock
3595992258_6f192e6ae7#3	brown dog runs in the woods with serious look on its face
3595992258_6f192e6ae7#4	reddish brown dog running
3596131692_91b8a05606#0	children are playing soccer while an adult looks on
3596131692_91b8a05606#1	children dressed in green and yellow soccer uniforms run after soccer ball
3596131692_91b8a05606#2	three children in neon colors play soccer while young man watches
3596131692_91b8a05606#3	three children wearing soccer uniforms chase after blue and grey soccer ball
3596131692_91b8a05606#4	three child soccer players go for the ball
3596428453_8cfdec4869#0	jogger wears robot hat
3596428453_8cfdec4869#1	man jogs in long distant race in robot costume
3596428453_8cfdec4869#2	man wearing no shirt and backpack runs with box on his head
3596428453_8cfdec4869#3	man with no shirt and robot head runs in race
3596428453_8cfdec4869#4	the shirtless male marathon runner is wearing backpack and silver robot looking helmet on his head
3596459539_a47aa80612#0	guy racing his motorcycle
3596459539_a47aa80612#1	man on motorcycle is racing at track
3596459539_a47aa80612#2	motorcycle goes by crowd with its rear wheel in the air
3596459539_a47aa80612#3	person riding racing motorcycle while other people watch
3596459539_a47aa80612#4	spectators watching motorcyclist ground around track
3596959859_a7cb1e194b#0	group of people appear to be tilling the ground in from of couple of thatch roof huts
3596959859_a7cb1e194b#1	team of workers breaks up stone on the ground
3596959859_a7cb1e194b#2	several men with gardening tools are working the soil
3596959859_a7cb1e194b#3	the men are using hoes to break the soil
3596959859_a7cb1e194b#4	workers in front of thatched homes breaking up dirt with hoes
3597146852_3d000a5d5f#0	boy is doing skateboarding trick in the air
3597146852_3d000a5d5f#1	boy jumps high above his skateboard near sign
3597146852_3d000a5d5f#2	boy jumping skateboard beside sign and pink flowers
3597146852_3d000a5d5f#3	he is skateboarding
3597146852_3d000a5d5f#4	the boy in black is skateboarding in the air in front of the flowers and white and blue sign
3597210806_95b07bb968#0	boy dunks basketball
3597210806_95b07bb968#1	boy dunks basketball on low hoop by the road
3597210806_95b07bb968#2	boy jumps up to make basket in basketball hoop
3597210806_95b07bb968#3	boy with basketball leaping for the goal
3597210806_95b07bb968#4	the teenage boy is dunking basketball in hoop
3597326009_3678a98a43#0	girl hands another person feet and boy playing bongo drums sit on picnic table
3597326009_3678a98a43#1	picture of group of peoples feet
3597326009_3678a98a43#2	the legs and feet of people sitting on wooden table two cameras and cigarettes on it
3597326009_3678a98a43#3	three people are sitting on picnic table along with two cameras and drum
3597326009_3678a98a43#4	three people sit on bench
3597354819_0069aaf16e#0	the children are near large pile of sand that is next to the water
3597354819_0069aaf16e#1	the two boys are playing in wet sand
3597354819_0069aaf16e#2	two boys play in the sand
3597354819_0069aaf16e#3	two skinny young boys playing with sand in the water
3597354819_0069aaf16e#4	two young boys sitting in water and digging in the sand
3597715122_45878432ec#0	group of people waiting in line at an ice cream stand
3597715122_45878432ec#1	group outside of ice cream place decorated with giant cone two innertubes
3597715122_45878432ec#2	guys gathered outside an ice cream store on sunny day
3597715122_45878432ec#3	people outside an ice cream shop that has summer decorations for sale
3597715122_45878432ec#4	people standing outside of an ice cream stand
3597921737_3fd1d0665b#0	the girl has white shirt and purple item in her hand
3597921737_3fd1d0665b#1	the lady is holding purple ribbon
3597921737_3fd1d0665b#2	three asian woman wearing white
3597921737_3fd1d0665b#3	three girls are posing in elegant outfits nearby tree and building
3597921737_3fd1d0665b#4	two woman stand together and one holds purple cloth
3597924257_d0da3c5fe6#0	brown and white dog runs in field of yellow flowers
3597924257_d0da3c5fe6#1	brown dog running at lean across lawn
3597924257_d0da3c5fe6#2	brown dog runs through field of grass spotted with yellow flowers
3597924257_d0da3c5fe6#3	the brown dog runs through the field
3597924257_d0da3c5fe6#4	the tan and white dog is running in the field
359837950_9e22ffe6c2#0	black dog is running across rocky landscape
359837950_9e22ffe6c2#1	black dog is running gover rocky ground under cloudy blue sky
359837950_9e22ffe6c2#2	black dog walking along rocky terrain
359837950_9e22ffe6c2#3	black dog walks through rocky grassy landscape under blue cloudy sky
359837950_9e22ffe6c2#4	dog on rocky terrain
3598447435_f66cd10bd6#0	kayaker gets wet in the rapids
3598447435_f66cd10bd6#1	kayaker in green boat paddles through the rapids
3598447435_f66cd10bd6#2	man in black with helmet is water rafting in green canoe
3598447435_f66cd10bd6#3	one man in green kayak paddling through the water
3598447435_f66cd10bd6#4	this man is kayaking in whitewater
3599124739_b7e60cf477#0	the two girls are in the water and one has white shirt on
3599124739_b7e60cf477#1	two girls playing in waves
3599124739_b7e60cf477#2	two girls play in the surf
3599124739_b7e60cf477#3	two laughing children play in the waves
3599124739_b7e60cf477#4	two small girls laugh as wave hits them at the beach
3599392711_8264881de2#0	man is presenting certificate to three young sumo wrestlers
3599392711_8264881de2#1	sumo wrestler accepting an award
3599392711_8264881de2#2	three young sumo wrestlers standing and listening to an announcer
3599392711_8264881de2#3	three young sumo wrestler students stand at attention at an award ceremony in front of man at the microphone
3599392711_8264881de2#4	young sumo wrestlers stand before man reading from an officiallooking document
3599442049_e448c7c9b2#0	boy punching with spray of snow
3599442049_e448c7c9b2#1	lean young man in the mountains throwing snow
3599442049_e448c7c9b2#2	shirtless boy punches snow
3599442049_e448c7c9b2#3	shirtless young man punches snow as if he was selling perfume
3599442049_e448c7c9b2#4	young boy plays in the snow without shirt on
3599568766_9e96def0ef#0	dog runs overtop the dry earth
3599568766_9e96def0ef#1	white dog runs along the beach shore
3599568766_9e96def0ef#2	white dog with brown patch on his eye is running on dirt path
3599568766_9e96def0ef#3	white dog with brown spots running on dirt path
3599568766_9e96def0ef#4	the white dog ran down the dusty road
3600221224_945df01247#0	brown dog runs towards the camera on dirt trail with mountains in the background
3600221224_945df01247#1	brown dog runs toward the camera down rocky trail through the brush with mountains in the background
3600221224_945df01247#2	dog running on trail in the mountains
3600221224_945df01247#3	the brown dog is walking along the dirt path with beautiful mountains behind him
3600221224_945df01247#4	yellow dog is running up trail
3600403707_527aa0596e#0	garden shop is being perused by shoppers with sitting shop owner waving
3600403707_527aa0596e#1	man waves to the camera from inside greenhouse section of farm products store
3600403707_527aa0596e#2	man wearing grey shirt waving in the middle of plant nursery
3600403707_527aa0596e#3	people browse for herbs at greenhouse
3600403707_527aa0596e#4	racks of plants at the farm products store
3600909823_ce72c26e66#0	man is skateboarding on ramp in the dark
3600909823_ce72c26e66#1	person on skateboard is in the air while performing skateboarding trick
3600909823_ce72c26e66#2	skateboarder does trick on the coping of bowl
3600909823_ce72c26e66#3	skateboarder gets to the top of ramp
3600909823_ce72c26e66#4	skateboarder grinds curved bowl at night
3601491447_a338875b51#0	group of young men in sports uniforms from two opposing teams are in vigorous play on grassy field
3601491447_a338875b51#1	three men tackle someone from the opposite team
3601491447_a338875b51#2	three men wearing the same black and yellow uniform are blocking another man in red uniform
3601491447_a338875b51#3	three players bring team opponent to the ground
3601491447_a338875b51#4	three rugby players in black strips are pulling the player in red to the ground
3601508034_5a3bfc905e#0	man dressed in yellow sports uniform and another man dressed in red and white sports uniform holding sticks with ball floating between them
3601508034_5a3bfc905e#1	the hockey player in yellow is challenging the player in red for the ball
3601508034_5a3bfc905e#2	two field hockey players attempt to hit ball with their sticks
3601508034_5a3bfc905e#3	two men in different colored jerseys play hockey
3601508034_5a3bfc905e#4	two men playing field hockey
3601533527_6c2439113c#0	man is partially silhouetted and leaning against dark object
3601533527_6c2439113c#1	man leaning on pole
3601533527_6c2439113c#2	man wearing baseball cap leaning against post
3601533527_6c2439113c#3	the man is leaning against tree
3601533527_6c2439113c#4	the man is standing outside next to wooden phone pole
3601569729_bf4bf82768#0	group of race horses run down track carrying jockeys
3601569729_bf4bf82768#1	horse race
3601569729_bf4bf82768#2	jockeys on horses during race
3601569729_bf4bf82768#3	the horses race on the dirt track while their riders urge them on
3601569729_bf4bf82768#4	there are riders and horses in horse race going around track
3601803640_5f3cb05acf#0	man and woman kissing
3601803640_5f3cb05acf#1	man and woman kissing in front of crowd of people
3601803640_5f3cb05acf#2	man is kissing woman
3601803640_5f3cb05acf#3	young couple kiss while crowd mills in the background on sunny day
3601803640_5f3cb05acf#4	two people kiss near crowd
3601843201_4809e66909#0	man racing on motorbike
3601843201_4809e66909#1	motorcycle rider drives fast around curve on track
3601843201_4809e66909#2	person wearing red and white uniform is racing motorcycle with the number on it
3601843201_4809e66909#3	red and white motorcycle is being ridden around bend on racetrack
3601843201_4809e66909#4	red and white motorbike number races around the track
3601978895_9fec23ce0c#0	man leans against large robot
3601978895_9fec23ce0c#1	two men are standing under large work of art by brick building
3601978895_9fec23ce0c#2	two men are standing under what looks to be giant robot
3601978895_9fec23ce0c#3	two men standing at the feet of large sculpture
3601978895_9fec23ce0c#4	two men standing near metal structure in from of brick wall
3602676311_824b2c04ba#0	biker makes high jump
3602676311_824b2c04ba#1	man doing an aerial stunt on bike
3602676311_824b2c04ba#2	man on bicycle performing jump
3602676311_824b2c04ba#3	person on bicycle wears helmet and jumps soaring over the ground in front of skyline and lake
3602676311_824b2c04ba#4	the cyclist is making high jump with his bike
3602838407_bf13e49243#0	black dog in water
3602838407_bf13e49243#1	black dog standing in shallow area of water on rocky beach
3602838407_bf13e49243#2	dog stands in tide pool
3602838407_bf13e49243#3	small black dog in the ocean with some rocks in the background
3602838407_bf13e49243#4	small black dog plays in the water
3603064161_a8f3b6455d#0	child uses camera as another child looks on
3603064161_a8f3b6455d#1	little girl is standing next to another little girl who is taking photograph
3603064161_a8f3b6455d#2	small boy and small girl setting up camera
3603064161_a8f3b6455d#3	child taking picture while sister leans on the wall
3603064161_a8f3b6455d#4	one child behind camera on tripod with one child in beige shirt and black shorts standing against the wall
3603116579_4a28a932e2#0	baseball pitcher with shelton on his shirt throws the ball
3603116579_4a28a932e2#1	baseball player in black and orange shirt and with glove on pitches the ball
3603116579_4a28a932e2#2	male dressed in sports outfit tries to catch baseball
3603116579_4a28a932e2#3	man playing baseball
3603116579_4a28a932e2#4	the baseball player is running after the ball
3603301825_5817727be2#0	goalie blocks the puck in field hockey game
3603301825_5817727be2#1	goalie makes an amazing save
3603301825_5817727be2#2	group of men playing lacrosse at night
3603301825_5817727be2#3	five men playing sport on field with multicolored shirts on
3603301825_5817727be2#4	the hockey goalkeeper is reaching out for the ball
3603870481_1ebc696d91#0	black dog holding an orange object in the water
3603870481_1ebc696d91#1	black dog is holding an orange toy in its mouth in the water
3603870481_1ebc696d91#2	black dog is in the water with something orange in his mouth
3603870481_1ebc696d91#3	black lab puppy fetches an orange object out of the water
3603870481_1ebc696d91#4	wet dog playing with toy in the water
3604314527_5077cd9d43#0	blue motorcycle and sidecar is being raced on wet track
3604314527_5077cd9d43#1	man races in small vehicle while another man hangs off the back
3604314527_5077cd9d43#2	racer in blue car towing man in black suit on the street
3604314527_5077cd9d43#3	racing on wet road while man hangs on back
3604314527_5077cd9d43#4	two people on blue motorcycle
3604383863_5e387cb8e6#0	man with headphones has his mouth wide open while woman stands next to him
3604383863_5e387cb8e6#1	an excited couple reaching for large black set of earphones
3604383863_5e387cb8e6#2	woman and man are amused by headphones
3604383863_5e387cb8e6#3	man and woman looking surprised with the man holding headphones
3604383863_5e387cb8e6#4	man looking very exciting holding headphones standing outside next to woman
3604384157_99241be16e#0	group of people dancing together
3604384157_99241be16e#1	people are dancing around while wearing multiple colored and varied clothing
3604384157_99241be16e#2	people in colorful hats and shirt dance outside
3604384157_99241be16e#3	people in hats are outside
3604384157_99241be16e#4	two men are wearing caps are looking at the ground with surprised expressions on their faces
3604384383_db6805d1b9#0	man and woman about to kiss each other
3604384383_db6805d1b9#1	woman in blue and man in red are about to kiss with foliage nearby
3604384383_db6805d1b9#2	woman is leaning back into man arms as they look each other in the face
3604384383_db6805d1b9#3	guy kisses girl
3604384383_db6805d1b9#4	the blond man is dancing with woman outside
3604391853_b4809fcb8c#0	man in red shirt is laying on the grass reaching out to another person
3604391853_b4809fcb8c#1	man is lying in the grass with his arms outstretched
3604391853_b4809fcb8c#2	man lying on the grass hand outstretched to another arm
3604391853_b4809fcb8c#3	man on the ground stretches his hands out to another person
3604391853_b4809fcb8c#4	man reaching for someone on the grass
3604496023_c1f546423e#0	man dressed in blue standing in front of colorful fruit and vegetable stand
3604496023_c1f546423e#1	people in colorful outdoor market with fruits vegetables and flowers
3604496023_c1f546423e#2	person in blue stand by flowers in open air market while another person with cane walks the path
3604496023_c1f546423e#3	several people shopping at an outdoors market
3604496023_c1f546423e#4	shoppers in fruit and vegetables market looking around
3604928725_58147c87cd#0	child floating on blue raft while woman holds on to him while black dog swims nearby
3604928725_58147c87cd#1	black dog swims behind two people on an inflatable blue raft
3604928725_58147c87cd#2	two people and dog play in the water using blue inflatable toy
3604928725_58147c87cd#3	two people swimming in water with black dog trailing behind them
3604928725_58147c87cd#4	two people swimming on floating while black dog follows
3605061440_1d08c80a57#0	children one with stick and six petting dog with blue leash
3605061440_1d08c80a57#1	group of children are petting white dog on the grass
3605061440_1d08c80a57#2	group of children gather around white dog on the grass outside
3605061440_1d08c80a57#3	group of children playing with dog
3605061440_1d08c80a57#4	group of children surround and pet white dog with blue collar on grass
3605100550_01214a1224#0	big dog barking at small dog through fence
3605100550_01214a1224#1	brown and white dog barking through the fence at smaller black and white dog
3605100550_01214a1224#2	the big dog is looking through the fence at the small dog
3605100550_01214a1224#3	the larger dog is barking at the smaller dog
3605100550_01214a1224#4	two dogs fighting with fence between them
3605676864_0fb491267e#0	boy with beach ball behind him playing in pool
3605676864_0fb491267e#1	young boy plays around in jacuzzi
3605676864_0fb491267e#2	children play in an inflatable pool
3605676864_0fb491267e#3	the boy laughed as he swam in the pool
3605676864_0fb491267e#4	two children are in pool with beach ball floating nearby
3606084228_6286a52875#0	bicyclist jumps their bike while crowd spread across hillside watches
3606084228_6286a52875#1	dirt biker competes while onlookers watch
3606084228_6286a52875#2	man in white jacket and helmet does tricks on his bike
3606084228_6286a52875#3	man is performing midair stunt on dirt bike while people in the background watch
3606084228_6286a52875#4	mountain bike racer jumps his bike as spectators watch
3606093421_eddd46c2c7#0	the orange rescue boat rushes across the water
3606093421_eddd46c2c7#1	two men in an orange boat ride across the water
3606093421_eddd46c2c7#2	two men in an orange raft boat
3606093421_eddd46c2c7#3	two men in life jackets speed through the water in an orange motorboat
3606093421_eddd46c2c7#4	two men ride an orange raft to shore
3606355203_1260f43ec0#0	man in red swimming trunks pushing baby stroller down crowded beach
3606355203_1260f43ec0#1	man pushes baby in carriage on the beach
3606355203_1260f43ec0#2	man pushing baby stroller at the beach woman with little boy ahead
3606355203_1260f43ec0#3	fat man on the beach with stroller
3606355203_1260f43ec0#4	man in drooping swim trunks pushing baby stroller along edge of beach
3606846822_28c40b933a#0	man does jumping trick on skateboard
3606846822_28c40b933a#1	man in green shirt on half pipe doing skateboard stunt
3606846822_28c40b933a#2	man on skateboard while the crowd watches
3606846822_28c40b933a#3	skateboard is sideways in the air
3606846822_28c40b933a#4	skateboarder wearing green shirt and jumping in the air
3606909929_90a1a072b7#0	race car spinning out of control on racetrack
3606909929_90a1a072b7#1	race car spins on the track
3606909929_90a1a072b7#2	silver and black race car turns sideways and blows smoke out the back of the car
3606909929_90a1a072b7#3	silver car goes out of control on racetrack
3606909929_90a1a072b7#4	the grey car skidded down the track
3606942887_1159d92548#0	man in blue goggles is in the swimming pool
3606942887_1159d92548#1	man with blue yellow and green swimming cap is wearing goggles and swimming
3606942887_1159d92548#2	swimmer doing the breaststroke in pool
3606942887_1159d92548#3	swimmer swimming butterfly in pool
3606942887_1159d92548#4	the swimmer is wearing green and yellow hat and goggles
360723732_23199af4bf#0	black and white dog has red toy in his mouth and is jumping
360723732_23199af4bf#1	dog is standing on its hind legs with its paws outstretched whilst carrying red object in its mouth
360723732_23199af4bf#2	dog with red object in its mouth is hurrying down smooth path near grass and another dog
360723732_23199af4bf#3	dog with red toy in its mouth
360723732_23199af4bf#4	dog with something red in mouth
3607405494_0df89110a6#0	three black dogs wearing muzzles race through the green grass
3607405494_0df89110a6#1	three dogs leaping up in the air as they compete in race
3607405494_0df89110a6#2	three dogs wearing vest are running on the green grass
3607405494_0df89110a6#3	three muzzled and numbered dogs running through the grass
3607405494_0df89110a6#4	three muzzled black dogs race through the grass
3607489370_92683861f7#0	bmx racer comes down hill everything around him is blur
3607489370_92683861f7#1	dirt biker rides down trail
3607489370_92683861f7#2	man in blue is riding bicycle on track
3607489370_92683861f7#3	mountain biker is giong down hill on his bike
3607489370_92683861f7#4	mountain biker on blue mountain bike gets air time
3607969989_68cc411493#0	guy with sunglasses stands on skateboard in front of circle design wall
3607969989_68cc411493#1	man is skateboarding on asphalt while the sun beams over wall
3607969989_68cc411493#2	man on skateboard
3607969989_68cc411493#3	young man skateboards in black shoes black pants and white top with sunglasses
3607969989_68cc411493#4	skateboarder wearing shades in front of wall that looks like fishscales
3608400551_d6f7965308#0	man is playing fetch with dog
3608400551_d6f7965308#1	man with tatoos playing fetch with white dog with black ear
3608400551_d6f7965308#2	tattooed man with white dog jumping up for stick
3608400551_d6f7965308#3	white dog jumps in the air after stick
3608400551_d6f7965308#4	the white dog jumps for an object thrown by his master
3608567609_aae96d4a5e#0	the girl with red sunglasses and white shirt is sitting on bench next to the girl in the black tank top
3608567609_aae96d4a5e#1	two people on bench sitting in the shade
3608567609_aae96d4a5e#2	two people sitting on park bench on sunny day
3608567609_aae96d4a5e#3	two women on bench
3608567609_aae96d4a5e#4	two women one in white one in black are sitting on bench
3608663656_9192a21eeb#0	man climbs up the side of steep rock that overlooks river
3608663656_9192a21eeb#1	man is climbing steep and rocky cliff overlooking water
3608663656_9192a21eeb#2	man is climbing on rocks by the water
3608663656_9192a21eeb#3	man is climbing the side of mountain over the ocean
3608663656_9192a21eeb#4	man rock climbing at the ocean
3608752424_01a1cfd8a6#0	couple of dogs running through the water with trees in the background
3608752424_01a1cfd8a6#1	two dogs are running through small pond
3608752424_01a1cfd8a6#2	two dogs play in river one is making splash
3608752424_01a1cfd8a6#3	two dogs run through the water near trees
3608752424_01a1cfd8a6#4	two dogs standing in lake
3608849440_e7d2bed29f#0	group of children play in the grass at park
3608849440_e7d2bed29f#1	kids are playing game of ball outdoors
3608849440_e7d2bed29f#2	kids playing on lawn with flag and parking lot nearby
3608849440_e7d2bed29f#3	three children are playing with balls near to an american flag
3608849440_e7d2bed29f#4	three kids playing with balls on lawn
3609026563_9c66f2dc41#0	man holding puppies
3609026563_9c66f2dc41#1	man holds two puppies
3609026563_9c66f2dc41#2	person is holding two newborn puppies
3609026563_9c66f2dc41#3	two newborn puppies are being held by pair of human hands
3609026563_9c66f2dc41#4	two white newborn puppies being held by hands
3609027309_af75f773d9#0	little boy and woman dancing
3609027309_af75f773d9#1	man in dance studio holds the hand of boy teaching him to dance
3609027309_af75f773d9#2	group of people teach little boy in red shirt and sneakers how to dance
3609027309_af75f773d9#3	the little boy in the red shirt is dancing with the lady in the brown shirt and blue jeans while two people look on
3609027309_af75f773d9#4	two adults dancing with little boy while another person standing in the background
3609032038_005c789f64#0	dirt bike rider rides across the rock
3609032038_005c789f64#1	dirt bike rider takes an unconventional trail in rocky area
3609032038_005c789f64#2	motocross bike is being ridden over rocks
3609032038_005c789f64#3	motorcycle rider on path of rocks with person holding camera in the background with trees all around
3609032038_005c789f64#4	rider on motorcycle riding over rocks
3609645320_815c294b65#0	family poses seated on concrete steps
3609645320_815c294b65#1	family sits for picture on staircase outside
3609645320_815c294b65#2	group of people are sitting on the steps outside
3609645320_815c294b65#3	group of people sit on the cement steps in the woods and smile
3609645320_815c294b65#4	these five people are seated on steps outdoors
3609952704_3719ab0524#0	boy holds soccer ball while he stands next to running track
3609952704_3719ab0524#1	boy is outside holding red and blue soccer ball
3609952704_3719ab0524#2	young boy carrying large soccer ball with soccer feild in the background
3609952704_3719ab0524#3	young boy in green shirt is holding red and blue soccer ball
3609952704_3719ab0524#4	there is young kid dressed up in soccer uniform holding his ball
3609999845_faf5d2fe74#0	boy hits ball with bat outside while others in the background watch him
3609999845_faf5d2fe74#1	man hitting red ball with bat while running in grass
3609999845_faf5d2fe74#2	young man hitting ball with bat
3609999845_faf5d2fe74#3	boy plays baseball in grass field
3609999845_faf5d2fe74#4	man playing cricket hits the red ball
3610189629_f46de92ab3#0	large dog looks at smaller dog who is chewing blue rope
3610189629_f46de92ab3#1	large dog watching small dog
3610189629_f46de92ab3#2	small dog chews on blue shoe next to large dog
3610189629_f46de92ab3#3	the brown dog is watching the white dog chewing the blue string
3610189629_f46de92ab3#4	the large dog watches the small one play with rope
3610683688_bbe6d725ed#0	dog is stepping out into the water towards the sun reflection
3610683688_bbe6d725ed#1	dog is wading in the water
3610683688_bbe6d725ed#2	dog wading into the water
3610683688_bbe6d725ed#3	dog walking through the pound
3610683688_bbe6d725ed#4	the dog is walking out into the water and the sun is casting reflection off of the water
3610687607_895fdc94bd#0	man is jumping with his body forward toward photograph screen and large photography light
3610687607_895fdc94bd#1	man jumps towards light with white tarp behind him
3610687607_895fdc94bd#2	person falls through the air in room with step ladder in it
3610687607_895fdc94bd#3	person jumps toward light in photo studio
3610687607_895fdc94bd#4	there is person in jeans and sneakers jumping off the ground towards large white light
3610836023_3a972b10b0#0	man in grey tshirt is sitting on rock in front of waterfall
3610836023_3a972b10b0#1	man in grey sits and watches waterfall from rock
3610836023_3a972b10b0#2	man sits watching waterfall
3610836023_3a972b10b0#3	person sitting on rock beside waterfall
3610836023_3a972b10b0#4	woman sits staring at waterfall
361092202_3d70144ebd#0	hiker discovers feature in an otherwise barren landscape
361092202_3d70144ebd#1	hiker passes white rock formation in the middle of an empty desert
361092202_3d70144ebd#2	man hiking with large backpack and two poles near collection of pointy white rocks
361092202_3d70144ebd#3	man with backpack looks upon white objects on the ground
361092202_3d70144ebd#4	person hiking up rocky slope with white objects in front of them
3611603026_9112b0c53f#0	girl in short dress carrying silver purse looks at food in bakery
3611603026_9112b0c53f#1	woman with large silver bag stands at food counter
3611603026_9112b0c53f#2	woman with silver bag buying food
3611603026_9112b0c53f#3	woman with silver handbag waits in line at the lunch counter
3611603026_9112b0c53f#4	woman with silver shoulderbag is looking in grocery display case
3611672054_45edd3e08f#0	man in bright shorts hits volleyball in the sand
3611672054_45edd3e08f#1	man in colourful shorts reaching up to hit volleyball
3611672054_45edd3e08f#2	man on the sand wearing blue pink and yellow shorts
3611672054_45edd3e08f#3	shirtless man in colorful shorts spikes volleyball during beach volleyball game
3611672054_45edd3e08f#4	the young man leaps to serve the volleyball on the beach
361183669_52be9662b9#0	people are getting ready to set sail on boat
361183669_52be9662b9#1	people on boat carrying equipment
361183669_52be9662b9#2	three men prepare to set sail on sailboat
361183669_52be9662b9#3	three people are organizing diving equipment on the deck of boat
361183669_52be9662b9#4	three people riding on blue and white boat
3612249030_e2829ffa31#0	boy carries boogieboard on the beach
3612249030_e2829ffa31#1	boy is carrying black body board across the sand
